# Google_Product_Taxonomy_Version: 2015-02-19
412 - Alimentación, bebida y tabaco
422 - Alimentación, bebida y tabaco > Alimentos
4608 - Alimentación, bebida y tabaco > Alimentos > Aliños y especias
1529 - Alimentación, bebida y tabaco > Alimentos > Aliños y especias > Hierbas y especias
4610 - Alimentación, bebida y tabaco > Alimentos > Aliños y especias > MSG
6199 - Alimentación, bebida y tabaco > Alimentos > Aliños y especias > Pimienta
4611 - Alimentación, bebida y tabaco > Alimentos > Aliños y especias > Sal
4748 - Alimentación, bebida y tabaco > Alimentos > Bombones y chocolatinas
432 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos
4628 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Carne
5811 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Carne > Carnes en lata
5805 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Carne > Carnes frescas y congeladas
5804 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Carne > Fiambres y embutidos
4627 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Huevos
4629 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Marisco
5813 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Marisco > Marisco en lata
5812 - Alimentación, bebida y tabaco > Alimentos > Carne, marisco y huevos > Marisco > Marisco fresco y congelado
136 - Alimentación, bebida y tabaco > Alimentos > Cestas de comida de regalo
5788 - Alimentación, bebida y tabaco > Alimentos > Chucherías y postres helados
6873 - Alimentación, bebida y tabaco > Alimentos > Chucherías y postres helados > Cucuruchos
499991 - Alimentación, bebida y tabaco > Alimentos > Chucherías y postres helados > Helado y yogur helado
5789 - Alimentación, bebida y tabaco > Alimentos > Chucherías y postres helados > Polos
5814 - Alimentación, bebida y tabaco > Alimentos > Comida preparada
499989 - Alimentación, bebida y tabaco > Alimentos > Comida preparada > Aperitivos y guarniciones
499988 - Alimentación, bebida y tabaco > Alimentos > Comida preparada > Platos preparados y entrantes
427 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas
500074 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Adobos y salsas
5760 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Alcaparras y aceitunas
1969 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Aliños para ensaladas
500076 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Frutas y hortalizas encurtidas
6845 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Guarniciones para postres
6854 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Guarniciones para postres > Frutas para guarnición
6844 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Guarniciones para postres > Sirope para helado
2018 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Ketchup
1568 - Alimentación, bebida y tabaco > Alimentos > Condimentos y salsas > Mahonesa
